,,,,,,,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Snap Counts,Snap Counts,Snap Counts,Snap Counts,Snap Counts,Snap Counts,,,
,,,,,,,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Off.,Off.,Def.,Def.,ST,ST,Fantasy,Fantasy,Fantasy
Rk,G#,Date,Tm,Opp,Result,Pos,Cmp,Att,Yds,TD,Att,Yds,TD,Cmp,Att,Yds,TD,Att,Yds,TD,Num,Pct,Num,Pct,Num,Pct,FantPt,DKPt,FDPt
9,9,2016-11-03,ATL,TAM,W 43-28,QB,6,9,28,3,0,0,0,3,4,1,3,0,0,0,71,97.3%,0,0.0%,0,0.0%,27.76,31.8,27.8
10,10,2016-11-13,ATL,PHI,L 15-24,QB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,100.0%,0,0.0%,0,0.0%,12.68,13.7,13.7
11,11,2016-11-27,ATL,ARI,W 38-19,QB,1,1,2,0,0,0,0,1,1,0,0,0,0,0,70,100.0%,0,0.0%,0,0.0%,18.26,19.3,19.3
12,12,2016-12-04,ATL,KAN,L 28-29,QB,4,12,31,1,2,13,0,1,5,0,1,0,0,0,73,100.0%,0,0.0%,0,0.0%,16.18,17.2,17.2
13,13,2016-12-11,ATL,LAR,W 42-14,QB,4,4,22,2,0,0,0,2,2,0,2,0,0,0,49,84.5%,0,0.0%,0,0.0%,21.48,21.5,21.5
14,14,2016-12-18,ATL,SFO,W 41-13,QB,5,8,38,2,0,0,0,3,5,0,2,0,0,0,61,89.7%,0,0.0%,0,0.0%,19.34,19.3,19.3
15,15,2016-12-24,ATL,CAR,W 33-16,QB,5,8,17,1,1,2,0,2,5,1,1,0,0,0,63,100.0%,0,0.0%,0,0.0%,19.98,20,20
16,16,2017-01-01,ATL,NOR,W 38-32,QB,7,10,49,4,0,0,0,4,7,1,3,0,0,0,62,100.0%,0,0.0%,0,0.0%,29.44,32.4,29.4
1,1,2017-09-10,ATL,CHI,W 23-17,QB,1,2,4,0,1,13,0,0,0,0,0,0,0,0,59,100.0%,0,0.0%,0,0.0%,17.94,20.9,17.9
2,2,2017-09-17,ATL,GNB,W 34-23,QB,3,4,13,1,0,0,0,2,3,0,1,0,0,0,58,100.0%,0,0.0%,0,0.0%,14.88,14.9,14.9
3,3,2017-09-24,ATL,DET,W 30-26,QB,3,6,16,2,0,0,0,2,3,0,2,0,0,0,68,100.0%,0,0.0%,0,0.0%,13.66,16.7,16.7
4,4,2017-10-01,ATL,BUF,L 17-23,QB,5,9,24,1,0,0,0,1,2,0,1,0,0,0,75,100.0%,0,0.0%,0,0.0%,8.48,11.5,10.5
5,5,2017-10-15,ATL,MIA,L 17-20,QB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,57,100.0%,0,0.0%,0,0.0%,11.92,12.9,12.9
